Test_Number,Starting_Num,End_Num,Steps,Sequence
21,679,1.0,64,679(Starting);2038(Odd);1019.0(Even);3058.0(Odd);1529.0(Even);4588.0(Odd);2294.0(Even);1147.0(Even);3442.0(Odd);1721.0(Even);5164.0(Odd);2582.0(Even);1291.0(Even);3874.0(Odd);1937.0(Even);5812.0(Odd);2906.0(Even);1453.0(Even);4360.0(Odd);2180.0(Even);1090.0(Even);545.0(Even);1636.0(Odd);818.0(Even);409.0(Even);1228.0(Odd);614.0(Even);307.0(Even);922.0(Odd);461.0(Even);1384.0(Odd);692.0(Even);346.0(Even);173.0(Even);520.0(Odd);260.0(Even);130.0(Even);65.0(Even);196.0(Odd);98.0(Even);49.0(Even);148.0(Odd);74.0(Even);37.0(Even);112.0(Odd);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
22,158,1.0,36,158(Starting);79.0(Even);238.0(Odd);119.0(Even);358.0(Odd);179.0(Even);538.0(Odd);269.0(Even);808.0(Odd);404.0(Even);202.0(Even);101.0(Even);304.0(Odd);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
23,645,1.0,100,645(Starting);1936(Odd);968.0(Even);484.0(Even);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
24,452,1.0,14,452(Starting);226.0(Even);113.0(Even);340.0(Odd);170.0(Even);85.0(Even);256.0(Odd);128.0(Even);64.0(Even);32.0(Even);16.0(Even);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
25,520,1.0,30,520(Starting);260.0(Even);130.0(Even);65.0(Even);196.0(Odd);98.0(Even);49.0(Even);148.0(Odd);74.0(Even);37.0(Even);112.0(Odd);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
26,219,1.0,52,219(Starting);658(Odd);329.0(Even);988.0(Odd);494.0(Even);247.0(Even);742.0(Odd);371.0(Even);1114.0(Odd);557.0(Even);1672.0(Odd);836.0(Even);418.0(Even);209.0(Even);628.0(Odd);314.0(Even);157.0(Even);472.0(Odd);236.0(Even);118.0(Even);59.0(Even);178.0(Odd);89.0(Even);268.0(Odd);134.0(Even);67.0(Even);202.0(Odd);101.0(Even);304.0(Odd);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
27,495,1.0,97,495(Starting);1486(Odd);743.0(Even);2230.0(Odd);1115.0(Even);3346.0(Odd);1673.0(Even);5020.0(Odd);2510.0(Even);1255.0(Even);3766.0(Odd);1883.0(Even);5650.0(Odd);2825.0(Even);8476.0(Odd);4238.0(Even);2119.0(Even);6358.0(Odd);3179.0(Even);9538.0(Odd);4769.0(Even);14308.0(Odd);7154.0(Even);3577.0(Even);10732.0(Odd);5366.0(Even);2683.0(Even);8050.0(Odd);4025.0(Even);12076.0(Odd);6038.0(Even);3019.0(Even);9058.0(Odd);4529.0(Even);13588.0(Odd);6794.0(Even);3397.0(Even);10192.0(Odd);5096.0(Even);2548.0(Even);1274.0(Even);637.0(Even);1912.0(Odd);956.0(Even);478.0(Even);239.0(Even);718.0(Odd);359.0(Even);1078.0(Odd);539.0(Even);1618.0(Odd);809.0(Even);2428.0(Odd);1214.0(Even);607.0(Even);1822.0(Odd);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
28,555,1.0,30,555(Starting);1666(Odd);833.0(Even);2500.0(Odd);1250.0(Even);625.0(Even);1876.0(Odd);938.0(Even);469.0(Even);1408.0(Odd);704.0(Even);352.0(Even);176.0(Even);88.0(Even);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
29,754,1.0,64,754(Starting);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
30,661,1.0,113,661(Starting);1984(Odd);992.0(Even);496.0(Even);248.0(Even);124.0(Even);62.0(Even);31.0(Even);94.0(Odd);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
31,239,1.0,52,239(Starting);718(Odd);359.0(Even);1078.0(Odd);539.0(Even);1618.0(Odd);809.0(Even);2428.0(Odd);1214.0(Even);607.0(Even);1822.0(Odd);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
32,691,1.0,126,691(Starting);2074(Odd);1037.0(Even);3112.0(Odd);1556.0(Even);778.0(Even);389.0(Even);1168.0(Odd);584.0(Even);292.0(Even);146.0(Even);73.0(Even);220.0(Odd);110.0(Even);55.0(Even);166.0(Odd);83.0(Even);250.0(Odd);125.0(Even);376.0(Odd);188.0(Even);94.0(Even);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
33,314,1.0,37,314(Starting);157.0(Even);472.0(Odd);236.0(Even);118.0(Even);59.0(Even);178.0(Odd);89.0(Even);268.0(Odd);134.0(Even);67.0(Even);202.0(Odd);101.0(Even);304.0(Odd);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
34,324,1.0,24,324(Starting);162.0(Even);81.0(Even);244.0(Odd);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
35,132,1.0,28,132(Starting);66.0(Even);33.0(Even);100.0(Odd);50.0(Even);25.0(Even);76.0(Odd);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
36,729,1.0,33,729(Starting);2188(Odd);1094.0(Even);547.0(Even);1642.0(Odd);821.0(Even);2464.0(Odd);1232.0(Even);616.0(Even);308.0(Even);154.0(Even);77.0(Even);232.0(Odd);116.0(Even);58.0(Even);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
37,885,1.0,116,885(Starting);2656(Odd);1328.0(Even);664.0(Even);332.0(Even);166.0(Even);83.0(Even);250.0(Odd);125.0(Even);376.0(Odd);188.0(Even);94.0(Even);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
38,774,1.0,121,774(Starting);387.0(Even);1162.0(Odd);581.0(Even);1744.0(Odd);872.0(Even);436.0(Even);218.0(Even);109.0(Even);328.0(Odd);164.0(Even);82.0(Even);41.0(Even);124.0(Odd);62.0(Even);31.0(Even);94.0(Odd);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
39,927,1.0,116,927(Starting);2782(Odd);1391.0(Even);4174.0(Odd);2087.0(Even);6262.0(Odd);3131.0(Even);9394.0(Odd);4697.0(Even);14092.0(Odd);7046.0(Even);3523.0(Even);10570.0(Odd);5285.0(Even);15856.0(Odd);7928.0(Even);3964.0(Even);1982.0(Even);991.0(Even);2974.0(Odd);1487.0(Even);4462.0(Odd);2231.0(Even);6694.0(Odd);3347.0(Even);10042.0(Odd);5021.0(Even);15064.0(Odd);7532.0(Even);3766.0(Even);1883.0(Even);5650.0(Odd);2825.0(Even);8476.0(Odd);4238.0(Even);2119.0(Even);6358.0(Odd);3179.0(Even);9538.0(Odd);4769.0(Even);14308.0(Odd);7154.0(Even);3577.0(Even);10732.0(Odd);5366.0(Even);2683.0(Even);8050.0(Odd);4025.0(Even);12076.0(Odd);6038.0(Even);3019.0(Even);9058.0(Odd);4529.0(Even);13588.0(Odd);6794.0(Even);3397.0(Even);10192.0(Odd);5096.0(Even);2548.0(Even);1274.0(Even);637.0(Even);1912.0(Odd);956.0(Even);478.0(Even);239.0(Even);718.0(Odd);359.0(Even);1078.0(Odd);539.0(Even);1618.0(Odd);809.0(Even);2428.0(Odd);1214.0(Even);607.0(Even);1822.0(Odd);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
40,580,1.0,118,580(Starting);290.0(Even);145.0(Even);436.0(Odd);218.0(Even);109.0(Even);328.0(Odd);164.0(Even);82.0(Even);41.0(Even);124.0(Odd);62.0(Even);31.0(Even);94.0(Odd);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
41,481,1.0,48,481(Starting);1444(Odd);722.0(Even);361.0(Even);1084.0(Odd);542.0(Even);271.0(Even);814.0(Odd);407.0(Even);1222.0(Odd);611.0(Even);1834.0(Odd);917.0(Even);2752.0(Odd);1376.0(Even);688.0(Even);344.0(Even);172.0(Even);86.0(Even);43.0(Even);130.0(Odd);65.0(Even);196.0(Odd);98.0(Even);49.0(Even);148.0(Odd);74.0(Even);37.0(Even);112.0(Odd);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
42,149,1.0,23,149(Starting);448(Odd);224.0(Even);112.0(Even);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
43,380,1.0,107,380(Starting);190.0(Even);95.0(Even);286.0(Odd);143.0(Even);430.0(Odd);215.0(Even);646.0(Odd);323.0(Even);970.0(Odd);485.0(Even);1456.0(Odd);728.0(Even);364.0(Even);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
44,326,1.0,24,326(Starting);163.0(Even);490.0(Odd);245.0(Even);736.0(Odd);368.0(Even);184.0(Even);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
45,360,1.0,19,360(Starting);180.0(Even);90.0(Even);45.0(Even);136.0(Odd);68.0(Even);34.0(Even);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
46,280,1.0,16,280(Starting);140.0(Even);70.0(Even);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
47,481,1.0,48,481(Starting);1444(Odd);722.0(Even);361.0(Even);1084.0(Odd);542.0(Even);271.0(Even);814.0(Odd);407.0(Even);1222.0(Odd);611.0(Even);1834.0(Odd);917.0(Even);2752.0(Odd);1376.0(Even);688.0(Even);344.0(Even);172.0(Even);86.0(Even);43.0(Even);130.0(Odd);65.0(Even);196.0(Odd);98.0(Even);49.0(Even);148.0(Odd);74.0(Even);37.0(Even);112.0(Odd);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
48,275,1.0,91,275(Starting);826(Odd);413.0(Even);1240.0(Odd);620.0(Even);310.0(Even);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
49,554,1.0,17,554(Starting);277.0(Even);832.0(Odd);416.0(Even);208.0(Even);104.0(Even);52.0(Even);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
