Test_Number,Starting_Num,End_Num,Steps,Sequence
11,878,1.0,54,878(Starting);439.0(Even);1318.0(Odd);659.0(Even);1978.0(Odd);989.0(Even);2968.0(Odd);1484.0(Even);742.0(Even);371.0(Even);1114.0(Odd);557.0(Even);1672.0(Odd);836.0(Even);418.0(Even);209.0(Even);628.0(Odd);314.0(Even);157.0(Even);472.0(Odd);236.0(Even);118.0(Even);59.0(Even);178.0(Odd);89.0(Even);268.0(Odd);134.0(Even);67.0(Even);202.0(Odd);101.0(Even);304.0(Odd);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
12,575,1.0,43,575(Starting);1726(Odd);863.0(Even);2590.0(Odd);1295.0(Even);3886.0(Odd);1943.0(Even);5830.0(Odd);2915.0(Even);8746.0(Odd);4373.0(Even);13120.0(Odd);6560.0(Even);3280.0(Even);1640.0(Even);820.0(Even);410.0(Even);205.0(Even);616.0(Odd);308.0(Even);154.0(Even);77.0(Even);232.0(Odd);116.0(Even);58.0(Even);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
13,981,1.0,23,981(Starting);2944(Odd);1472.0(Even);736.0(Even);368.0(Even);184.0(Even);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
14,841,1.0,41,841(Starting);2524(Odd);1262.0(Even);631.0(Even);1894.0(Odd);947.0(Even);2842.0(Odd);1421.0(Even);4264.0(Odd);2132.0(Even);1066.0(Even);533.0(Even);1600.0(Odd);800.0(Even);400.0(Even);200.0(Even);100.0(Even);50.0(Even);25.0(Even);76.0(Odd);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
15,266,1.0,29,266(Starting);133.0(Even);400.0(Odd);200.0(Even);100.0(Even);50.0(Even);25.0(Even);76.0(Odd);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
16,860,1.0,103,860(Starting);430.0(Even);215.0(Even);646.0(Odd);323.0(Even);970.0(Odd);485.0(Even);1456.0(Odd);728.0(Even);364.0(Even);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
17,299,1.0,117,299(Starting);898(Odd);449.0(Even);1348.0(Odd);674.0(Even);337.0(Even);1012.0(Odd);506.0(Even);253.0(Even);760.0(Odd);380.0(Even);190.0(Even);95.0(Even);286.0(Odd);143.0(Even);430.0(Odd);215.0(Even);646.0(Odd);323.0(Even);970.0(Odd);485.0(Even);1456.0(Odd);728.0(Even);364.0(Even);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
18,207,1.0,88,207(Starting);622(Odd);311.0(Even);934.0(Odd);467.0(Even);1402.0(Odd);701.0(Even);2104.0(Odd);1052.0(Even);526.0(Even);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
19,284,1.0,104,284(Starting);142.0(Even);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
20,24,1.0,10,24(Starting);12.0(Even);6.0(Even);3.0(Even);10.0(Odd);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
